Insurance Analytics Canada Returns to Toronto in 2018!,"July 4, 2018",by Insurance Nexus
Crawford Acquires Cherrie Griffith Ltd.,"July 3, 2018",by Crawford & Company
Heartland Farm Mutual appoints President and CEO,"July 3, 2018",by Heartland Farm Mutual
Outstanding speaker lineup revealed for CIAA's Canadian Claims Summit,"July 3, 2018",by Canadian Independent Adjusters' Association
Woodhouse Group Inc. Acquires First Response Restorations,"July 3, 2018",by Woodhouse Group Inc.
Now Available: ICC Mobile Siding & Roofing App v3.0,"June 28, 2018",by Insurance Claims Collaborative
"On Side Restoration Announces New Truro, NS Branch Opening mid-July","June 27, 2018",by On Side Restoration Services Ltd.
Trufla Technology's truLeads captures the leads for Cheep Insurance,"June 27, 2018",by Trufla Technology
CRU GROUP Announces Opening of Florida Office,"June 27, 2018",by CRU Adjusters
30 Forensic Engineering Strengthens Fire Investigation Group with the Senior Appointment of Brandon Northrup,"June 27, 2018",by -30- Forensic Engineering
Duliban Insurance Brokers Announces The Launch Of New Jewelry Insurance Program,"June 26, 2018",by Duliban Insurance Brokers
"IPG Welcomes Paul Burns as Director, Business Development","June 25, 2018",by SCM Insurance Services
